response,model,min_data_in_leaf,num_leaves,cv_rmse,cv_r2
GPPsat,M2_12m,5,3,6.8150753300451,0.424602224614777
GPPsat,M2_12m,5,5,6.74862755969976,0.435767913893382
GPPsat,M2_12m,5,7,6.67463776672095,0.448072211982155
GPPsat,M2_12m,5,15,6.7543128800233,0.43481684900621
GPPsat,M2_12m,10,3,6.87545681764137,0.414361021138941
GPPsat,M2_12m,10,5,6.75821668922915,0.434163339215602
GPPsat,M2_12m,10,7,6.64199262761622,0.453457881828873
GPPsat,M2_12m,10,15,6.68086233999236,0.447042308335577
GPPsat,M2_12m,20,3,6.74876916371125,0.435744235489341
GPPsat,M2_12m,20,5,6.66847509853559,0.44909092721818
GPPsat,M2_12m,20,7,6.60545421161957,0.459454532616235
GPPsat,M2_12m,20,15,6.53450851151801,0.471003604090647
GPPsat,M6_raw_12m,5,3,4.97708879598393,0.693113605207146
GPPsat,M6_raw_12m,5,5,5.00403166445561,0.689782027209744
GPPsat,M6_raw_12m,5,7,4.96589183498516,0.694492857187093
GPPsat,M6_raw_12m,5,15,4.90404750295753,0.702054936773697
GPPsat,M6_raw_12m,10,3,4.94865715169355,0.696609770758809
GPPsat,M6_raw_12m,10,5,4.87743078256164,0.705280353952989
GPPsat,M6_raw_12m,10,7,4.92038086042862,0.700066967742788
GPPsat,M6_raw_12m,10,15,4.9642444554865,0.694695520773284
GPPsat,M6_raw_12m,20,3,4.95036839021904,0.696399910670603
GPPsat,M6_raw_12m,20,5,4.97533455131002,0.693329899900872
GPPsat,M6_raw_12m,20,7,4.96884448849448,0.694129448179073
GPPsat,M6_raw_12m,20,15,4.88667967255272,0.704161562461896
NEPmax,M2_12m,5,3,6.19523437096001,0.518325668477274
NEPmax,M2_12m,5,5,6.10900909172847,0.53164025079872
NEPmax,M2_12m,5,7,6.18607191566492,0.519749361503579
NEPmax,M2_12m,5,15,6.39012415006115,0.487543963101286
NEPmax,M2_12m,10,3,6.23979016187437,0.511372402770079
NEPmax,M2_12m,10,5,6.19279819074268,0.518704415975027
NEPmax,M2_12m,10,7,6.15228483275333,0.524981100174678
NEPmax,M2_12m,10,15,6.31271038795657,0.499885147359938
NEPmax,M2_12m,20,3,6.25918078969153,0.508330788401218
NEPmax,M2_12m,20,5,6.20684745790535,0.51651816021209
NEPmax,M2_12m,20,7,6.14207635279534,0.52655618907143
NEPmax,M2_12m,20,15,6.30184790029113,0.501604794595917
NEPmax,M6_raw_12m,5,3,4.20460186839256,0.778135519228937
NEPmax,M6_raw_12m,5,5,4.21819574203881,0.776698582598542
NEPmax,M6_raw_12m,5,7,4.19413052590912,0.779239227074596
NEPmax,M6_raw_12m,5,15,4.37873853216472,0.759377603615207
NEPmax,M6_raw_12m,10,3,4.13967694865458,0.784934412919725
NEPmax,M6_raw_12m,10,5,4.20238235440266,0.77836969186296
NEPmax,M6_raw_12m,10,7,4.22291939083625,0.77619818473577
NEPmax,M6_raw_12m,10,15,4.25040805799321,0.773275071129644
NEPmax,M6_raw_12m,20,3,4.17087636229398,0.781680436558935
NEPmax,M6_raw_12m,20,5,4.21159081773407,0.777397333602906
NEPmax,M6_raw_12m,20,7,4.25017823306887,0.773299589072471
NEPmax,M6_raw_12m,20,15,4.33670418621954,0.763975209805574
ETmax,M2_12m,5,3,0.0548221647547388,0.380797158732162
ETmax,M2_12m,5,5,0.0544064051211093,0.390153351221143
ETmax,M2_12m,5,7,0.0537570760848642,0.404623268880417
ETmax,M2_12m,5,15,0.054543837154428,0.387068482039635
ETmax,M2_12m,10,3,0.0552681818932797,0.370680866512892
ETmax,M2_12m,10,5,0.0550280247164293,0.376138152648924
ETmax,M2_12m,10,7,0.0543151844355573,0.392196639786775
ETmax,M2_12m,10,15,0.0544434974184622,0.389321525477861
ETmax,M2_12m,20,3,0.053500459327922,0.410293926221991
ETmax,M2_12m,20,5,0.0542710741140605,0.393183454626999
ETmax,M2_12m,20,7,0.0543377559864946,0.391691369842954
ETmax,M2_12m,20,15,0.0545223452800532,0.387551412929268
ETmax,M6_raw_12m,5,3,0.0377532203479679,0.706350960096322
ETmax,M6_raw_12m,5,5,0.0372674059158634,0.713859779810249
ETmax,M6_raw_12m,5,7,0.0371798900379073,0.715202100739282
