response,model,min_data_in_leaf,num_leaves,cv_rmse,cv_r2
GPPsat,M2_12m,5,7,6.67463776672095,0.448072211982155
GPPsat,M2_12m,5,15,6.7543128800233,0.43481684900621
GPPsat,M2_12m,5,31,6.8002354743014,0.427105358596527
GPPsat,M2_12m,10,7,6.64199262761622,0.453457881828873
GPPsat,M2_12m,10,15,6.68086233999236,0.447042308335577
GPPsat,M2_12m,10,31,6.78381446322369,0.429868836654994
GPPsat,M2_12m,20,7,6.60545421161957,0.459454532616235
GPPsat,M2_12m,20,15,6.53450851151801,0.471003604090647
GPPsat,M2_12m,20,31,6.53450851151801,0.471003604090647
GPPsat,M2_12m,40,7,6.7876340223562,0.429226642575108
GPPsat,M2_12m,40,15,6.7876340223562,0.429226642575108
GPPsat,M2_12m,40,31,6.7876340223562,0.429226642575108
GPPsat,M6_raw_12m,5,7,4.96589183498516,0.694492857187093
GPPsat,M6_raw_12m,5,15,4.90404750295753,0.702054936773697
GPPsat,M6_raw_12m,5,31,5.0231869450864,0.687402471595419
GPPsat,M6_raw_12m,10,7,4.92038086042862,0.700066967742788
GPPsat,M6_raw_12m,10,15,4.9642444554865,0.694695520773284
GPPsat,M6_raw_12m,10,31,4.8912267396492,0.703610749570527
GPPsat,M6_raw_12m,20,7,4.96884448849448,0.694129448179073
GPPsat,M6_raw_12m,20,15,4.88667967255272,0.704161562461896
GPPsat,M6_raw_12m,20,31,4.88667967255272,0.704161562461896
GPPsat,M6_raw_12m,40,7,5.08197973745532,0.680042190067948
GPPsat,M6_raw_12m,40,15,5.08197973745532,0.680042190067948
GPPsat,M6_raw_12m,40,31,5.08197973745532,0.680042190067948
uWUE,M2_12m,5,7,1.07709385534547,0.0421490121821728
uWUE,M2_12m,5,15,1.09267790243627,0.0142309571684424
uWUE,M2_12m,5,31,1.08906479534737,0.0207393719044725
uWUE,M2_12m,10,7,1.07253586058794,0.0502386361229668
uWUE,M2_12m,10,15,1.09692490856694,0.00655311668838798
uWUE,M2_12m,10,31,1.07965678544251,0.03758520222347
uWUE,M2_12m,20,7,1.08123036095383,0.0347777619266677
uWUE,M2_12m,20,15,1.09500292291036,0.0100314183814646
uWUE,M2_12m,20,31,1.09500292291036,0.0100314183814646
uWUE,M2_12m,40,7,1.08577515883753,0.0266463596610186
uWUE,M2_12m,40,15,1.08577515883753,0.0266463596610186
uWUE,M2_12m,40,31,1.08577515883753,0.0266463596610186
uWUE,M6_raw_12m,5,7,0.741067848470663,0.546573604707191
uWUE,M6_raw_12m,5,15,0.772403687707168,0.507416872324791
uWUE,M6_raw_12m,5,31,0.769595333510199,0.510992290422971
uWUE,M6_raw_12m,10,7,0.748327387725615,0.537646515529022
uWUE,M6_raw_12m,10,15,0.757686803177052,0.52600877568774
uWUE,M6_raw_12m,10,31,0.760893088373458,0.521988733141131
uWUE,M6_raw_12m,20,7,0.768182907953442,0.512785578799923
uWUE,M6_raw_12m,20,15,0.771843270827565,0.508131399609243
uWUE,M6_raw_12m,20,31,0.771843270827565,0.508131399609243
uWUE,M6_raw_12m,40,7,0.817430582328985,0.448313167469773
uWUE,M6_raw_12m,40,15,0.817430582328985,0.448313167469773
uWUE,M6_raw_12m,40,31,0.817430582328985,0.448313167469773
